,"nfeatures","nmatches","ngoodmatches","reproj_error","ex_time"
0,2000,2000,50,"0,000002594","0,568595171"
0,2000,2000,49,"0,6924480862","0,2602329254"
0,2000,2000,49,0,"0,2656378746"
0,2000,2000,48,"0,0357135137","0,2734150887"
0,2000,2000,49,0,"0,2547328472"
0,2000,2000,50,0,"0,2652008533"
0,2000,2000,50,0,"0,2854759693"
0,2000,2000,49,0,"0,2707080841"
0,2000,2000,50,0,"0,2678740025"
0,2000,2000,47,"0,8639984131","9,7892799377"
0,2000,2000,47,0,"0,269603014"
0,2000,2000,48,"3,61065531885901E-05","0,2663269043"
0,2000,2000,47,"8,47710503472222E-08","0,2790501118"
0,2000,2000,48,"2,17982700892857E-06","0,2690019608"
0,2000,2000,44,0,"0,2458600998"
0,2000,2000,46,"0,6415257887","0,2622389793"
0,2000,2000,35,0,"0,2781159878"
0,2000,2000,39,"0,3392862521","0,2526488304"
0,2000,2000,32,0,"0,2555999756"
0,2000,2000,32,"0,7662547185","0,2513329983"
0,2000,2000,39,0,"0,6888580322"
0,2000,2000,33,"0,0008062744","0,3851451874"
0,2000,2000,38,"4,12464141845703E-05","0,3317601681"
0,2000,2000,35,"0,0001285694","0,2928340435"
0,2000,2000,35,0,"0,2519760132"
0,2000,2000,36,"9,3994140625E-05","0,585714817"
0,2000,2000,42,"3,46790660511364E-07","0,2519199848"
0,2000,2000,35,"1,71661376953125E-06","0,2762560844"
0,2000,2000,43,"1,41285083912037E-07","0,2670559883"
0,2000,2000,43,"1,82560511997768E-05","0,3430449963"
0,2000,2000,45,"4,45048014322917E-06","0,2555699348"
0,2000,2000,45,0,"0,2694370747"
0,2000,2000,47,0,"0,3610701561"
0,2000,2000,48,"7,62939453125E-06","0,2738800049"
0,2000,2000,50,"3,2806396484375E-06","0,2639930248"
0,2000,2000,49,"5,08626302083333E-06","0,2823569775"
0,2000,2000,47,0,"4,0625500679"
0,2000,2000,48,"9,5367431640625E-07","0,2776780128"
0,2000,2000,49,"7,33595628004808E-07","0,2667870522"
0,2000,2000,7,"7,33595628004808E-07","0,259417057"
0,2000,2000,43,"1,1988620077","0,2536959648"
0,2000,2000,44,0,"0,2871479988"
0,2000,2000,37,0,"0,6840069294"
0,2000,2000,8,0,"0,2505888939"
0,2000,2000,48,0,"0,2356030941"
0,2000,2000,48,"2,3050946395","0,283864975"
0,2000,2000,48,"2,2492593129","0,2527360916"
0,2000,2000,47,"2,2847079419","0,2955620289"
0,2000,2000,8,"3,8815059662","0,2533679008"
0,2000,2000,45,0,"0,303830862"
0,2000,2000,45,"0,0001287672","1,794246912"
0,2000,2000,42,0,"0,4808418751"
0,2000,2000,11,0,"0,2457418442"
0,2000,2000,12,0,"0,2236149311"
0,2000,2000,11,0,"0,2219789028"
0,2000,2000,13,0,"0,5525920391"
0,2000,2000,18,0,"0,2400281429"
0,2000,2000,8,"7,9403038025","0,222771883"
0,2000,2000,33,0,"0,2366490364"
0,2000,2000,34,0,"0,2559189796"
0,2000,2000,30,0,"0,2469880581"
0,2000,2000,8,"2,2033939362","0,2234699726"
0,2000,2000,42,0,"0,3240911961"
0,2000,2000,37,"5,30740489130435E-06","0,2725870609"
0,2000,2000,34,0,"0,2488539219"
0,2000,2000,40,0,"0,2559719086"
0,2000,2000,7,0,"0,2403509617"
0,2000,2000,48,0,"0,245028019"
