,nfeatures,nmatches,ngoodmatches,reproj_error,ex_time
0,1185,1185,50,1.0234553639481708e-06,0.22330403327941886
0,1185,1185,46,0.0,0.13484501838684082
0,1150,1150,46,0.02117516012752757,0.11739397048950195
0,1216,1216,45,0.0,0.11569809913635255
0,1223,1223,43,0.5124993324279785,0.1439359188079834
0,1237,1237,48,0.3150010108947754,0.1341381072998047
0,1255,1255,48,0.01878282298212466,0.6341168880462646
0,1251,1251,48,2.6614166969476754e-07,0.9145081043243408
0,1277,1277,49,1.245615433673469e-06,0.15389204025268555
0,1269,1269,49,0.0,0.14965605735778809
0,1274,1274,49,0.0,0.1267378330230713
0,1289,1289,45,0.060627633875066575,0.13763213157653809
0,1323,1323,44,0.005722999572753906,0.14911699295043945
0,1317,1317,44,6.185995565878379e-07,0.12099790573120114
0,1325,1325,42,0.0,0.12860107421875
0,1347,1347,38,0.0,0.13321495056152344
0,1329,1329,40,1.578495420258621e-06,0.14927005767822266
0,1362,1362,48,8.900960286458333e-05,0.4897370338439941
0,1342,1342,45,0.0,0.5640590190887451
0,1355,1355,43,0.0,0.13103079795837402
0,1403,1403,47,8.66976651278409e-07,0.14371013641357422
0,1372,1372,39,1.2715657552083333e-06,0.13883018493652344
0,1372,1372,46,4.153781467013889e-05,0.1965198516845703
0,1402,1402,42,7.97271728515625e-05,0.4834551811218262
0,1423,1423,42,0.001043075170272436,0.25331807136535645
0,1448,1448,40,1.3078962053571429e-06,0.14308691024780273
0,1449,1449,44,0.0,0.48588204383850103
0,1471,1471,43,0.0,0.2439889907836914
0,1501,1501,45,0.0004904610770089286,0.1908419132232666
0,1527,1527,45,1.6954210069444446e-06,0.14881110191345215
0,1521,1521,47,9.5367431640625e-07,0.14851093292236328
0,1537,1537,45,5.7220458984375e-07,0.1938128471374512
0,1556,1556,45,3.4679066051136365e-07,0.15354084968566895
0,1541,1541,49,0.0,0.17504096031188965
0,1558,1558,47,0.023403817034782247,0.1636052131652832
0,1574,1574,47,0.0,16.952314853668213
0,1616,1616,48,0.3409988403320313,0.1588449478149414
0,1624,1624,47,0.28620647561961204,0.17635512351989746
0,1640,1640,47,0.1918182373046875,0.16843295097351074
0,1645,1645,48,0.0944432152642144,0.1405658721923828
0,1641,1641,47,3.365909352022059e-07,0.1804349422454834
0,1671,1671,45,0.0,0.18500900268554688
0,1657,1657,34,0.5043954849243164,0.1556088924407959
