,nfeatures,nmatches,ngoodmatches,ex_time
0,2000,2000,50,4.9610249996
0,2000,2000,50,5.0745079517
0,2000,2000,38,4.9669039249
0,2000,2000,37,5.0537068844
0,2000,2000,16,5.0744190216
0,2000,2000,37,4.9732840061
0,2000,2000,45,5.124448061
0,2000,2000,50,5.1315510273
0,2000,2000,11,5.0703721046
0,2000,2000,50,4.9380970001
0,2000,2000,50,4.9374320507
0,2000,2000,46,4.9922449589
0,2000,2000,50,4.9293129444
0,2000,2000,16,5.1067531109
0,2000,2000,30,5.0789568424
0,2000,2000,20,4.9487221241
0,2000,2000,48,4.9457659721
0,2000,2000,14,5.4708068371
0,2000,2000,25,5.0832710266
0,2000,2000,44,5.1942369938
0,2000,2000,50,4.9117138386
0,2000,2000,46,4.9661228657
0,2000,2000,35,4.9534590244
0,2000,2000,10,4.9832320213
0,1964,1964,41,4.6755199432
0,1962,1962,19,4.8011591435
0,1963,1963,13,4.9408121109
0,1913,1913,31,4.6457369328
0,1954,1954,46,5.2592668533
0,1957,1957,12,4.9725630283
0,2000,2000,49,4.8334369659
0,2000,2000,13,5.3563549519
0,2000,2000,24,4.9599540234
0,2000,2000,40,5.2166039944
0,2000,2000,12,5.1413340569
0,2000,2000,27,4.962927103
0,2000,2000,41,4.9048988819
0,2000,2000,11,3.6707808971
0,1349,1349,50,2.4311411381
0,1348,1348,30,2.3762099743
0,1360,1360,47,2.4253890514
0,1373,1373,26,3.3992190361
0,1858,1858,10,5.1139039993
0,2000,2000,46,5.1521098614
0,2000,2000,9,5.2406618595
0,2000,2000,50,4.9155540466
0,2000,2000,50,5.0572581291
0,2000,2000,11,5.3101358414
0,2000,2000,49,5.0250689983
0,2000,2000,43,5.1576309204
0,2000,2000,9,5.3233668804
0,2000,2000,6,5.0423660278
0,2000,2000,48,5.0623729229
0,2000,2000,21,5.2708580494
0,2000,2000,27,4.9049899578
0,2000,2000,50,4.9952251911
0,2000,2000,28,5.0551149845
0,2000,2000,33,5.5435597897
0,2000,2000,31,5.157720089
0,2000,2000,12,4.0886061192
0,1394,1394,50,2.6517670155
0,1408,1408,26,1.6497111321
0,811,811,50,1.0622589588
0,811,811,34,1.2841799259
0,1042,1042,26,1.2989690304
0,848,848,50,1.1140420437
0,847,847,38,1.2347960472
0,955,955,33,1.356263876
0,1016,1016,50,1.4632380009
0,1018,1018,31,1.3728928566
0,917,917,50,1.246336937
0,917,917,40,1.3170590401
0,1001,1001,29,1.4684679508
0,1040,1040,50,1.6699688435
0,1038,1038,31,1.8094980717
0,1176,1176,38,2.035271883
0,1259,1259,11,3.2767350674
0,2000,2000,10,5.0838618279
0,2000,2000,50,4.9806640148
0,2000,2000,48,5.1055409908
0,2000,2000,9,5.0280299187
0,1984,1984,44,5.3107731342
0,1986,1986,39,6.3320000172
0,1988,1988,12,6.7538759708
0,1987,1987,48,5.8857820034
0,1987,1987,46,5.037142992
0,1976,1976,49,4.8455309868
0,1979,1979,10,3.4988570213
0,1358,1358,33,2.5753860474
0,1415,1415,50,2.6495370865
0,1415,1415,37,2.4860341549
0,1287,1287,34,2.2929441929
0,1377,1377,50,2.4674379826
0,1350,1350,50,2.4496240616
0,1346,1346,23,1.878852129
0,1031,1031,50,1.5554468632
0,1048,1048,29,1.3783800602
0,936,936,50,1.3432679176
0,920,920,50,1.2500669956
0,925,925,26,0.9957280159
0,685,685,50,0.799710989
0,687,687,32,1.0869848728
0,1010,1010,40,1.3956120014
0,992,992,50,1.5306689739
0,988,988,29,1.3821890354
0,1020,1020,50,1.3735229969
0,1020,1020,30,1.3975870609
0,1056,1056,26,1.5035521984
0,1093,1093,50,1.6278040409
0,1109,1109,31,1.0979800224
0,744,744,50,0.808177948
0,749,749,50,0.7925109863
0,747,747,35,0.8939230442
0,839,839,50,0.9827480316
0,842,842,36,1.2651059628
0,1180,1180,34,1.6157050133
0,1093,1093,50,1.496158123
0,1100,1100,50,1.486918211
0,1100,1100,43,1.5572600365
0,1127,1127,42,1.6112020016
0,1147,1147,50,1.6877040863
0,1150,1150,50,1.6971549988
0,1153,1153,33,1.9713361263
0,1351,1351,30,2.1265451908
0,1317,1317,50,2.1946489811
0,1319,1319,50,2.020304203
0,1318,1318,38,2.1619420052
0,1351,1351,32,1.6568069458
0,965,965,50,1.2719171047
0,965,965,35,1.4531831741
0,1126,1126,50,1.5806069374
0,1123,1123,50,1.6699450016
0,1122,1122,39,1.9516720772
0,1189,1189,50,1.9183018208
0,1181,1181,50,1.8452079296
0,1179,1179,31,2.0761678219
0,1298,1298,50,2.1265480518
0,1335,1335,31,2.2477469444
0,1273,1273,38,1.9612300396
0,1062,1062,50,1.578897953
0,1058,1058,39,0.927987814
0,898,898,32,1.1679680347
0,1439,1439,31,1.6531441212
0,1427,1427,50,1.5583651066
0,1437,1437,50,1.5406980515
0,1437,1437,9,2.1721241474
0,2000,2000,36,2.9476411343
0,2000,2000,40,2.8968269825
0,2000,2000,41,3.0002241135
0,2000,2000,47,3.2170200348
0,2000,2000,10,1.7942249775
0,1146,1146,50,1.0541689396
0,1150,1150,37,1.007447958
0,1091,1091,38,1.108850956
0,1283,1283,33,1.1227688789
0,1056,1056,13,1.0065119267
0,1096,1096,50,1.0370550156
0,1102,1102,50,0.9812510014
0,1098,1098,23,1.1080219746
