,nfeatures,nmatches,ngoodmatches,ex_time
0,2000,2000,50,5.1656489372
0,2000,2000,50,4.8433051109
0,2000,2000,38,4.8910458088
0,2000,2000,37,5.5122509003
0,2000,2000,16,5.1327159405
0,2000,2000,37,4.957020998
0,2000,2000,45,4.8660390377
0,2000,2000,50,5.0403051376
0,2000,2000,11,4.9769248962
0,2000,2000,50,4.7494931221
0,2000,2000,50,4.9612159729
0,2000,2000,46,4.8151738644
0,2000,2000,50,5.0137329102
0,2000,2000,16,4.9996581078
0,2000,2000,30,5.2198750973
0,2000,2000,20,4.8915958405
0,2000,2000,48,4.872656107
0,2000,2000,14,5.1925871372
0,2000,2000,25,4.8788528442
0,2000,2000,44,4.8259608746
0,2000,2000,50,4.7851829529
0,2000,2000,46,4.9516320229
0,2000,2000,35,4.8757770062
0,2000,2000,10,4.8395881653
0,1974,1974,19,4.6888029575
0,1964,1964,50,4.7677178383
0,1964,1964,13,4.7068219185
0,1916,1916,50,4.7550997734
0,1913,1913,48,4.6029429436
0,1916,1916,13,4.6971640587
0,2000,2000,49,4.8059289455
0,2000,2000,13,4.9763598442
0,2000,2000,45,4.7293579578
0,2000,2000,27,4.8662281036
0,2000,2000,15,4.8531038761
0,1934,1934,45,4.4867179394
0,1924,1924,12,4.5090510845
0,1900,1900,50,4.5189249516
0,1900,1900,45,4.5368080139
0,1839,1839,15,2.433809042
0,938,938,50,1.3071939945
0,938,938,12,2.754956007
0,1975,1975,29,4.7824420929
0,1975,1975,13,4.6276569367
0,1938,1938,30,4.4891438484
0,1940,1940,29,5.0360209942
0,1943,1943,18,3.5149679184
0,1367,1367,50,2.5932450295
0,1364,1364,50,2.3857021332
0,1363,1363,9,3.541091919
0,2000,2000,23,4.8461558819
0,2000,2000,47,4.8570280075
0,2000,2000,11,5.0775201321
0,2000,2000,21,4.8176040649
0,2000,2000,39,5.1063399315
0,2000,2000,23,4.9409160614
0,2000,2000,36,4.8397600651
0,2000,2000,40,4.7910780907
0,2000,2000,5,4.7980470657
0,2000,2000,36,4.8284389973
0,2000,2000,36,4.8580930233
0,2000,2000,31,4.91467309
0,2000,2000,20,4.8661420345
0,2000,2000,7,3.0060851574
0,1178,1178,50,1.8883948326
0,1185,1185,25,1.7486898899
0,1140,1140,50,1.7097439766
0,1117,1117,49,1.6663901806
0,1085,1085,27,1.1517059803
0,706,706,50,0.9431908131
0,698,698,50,0.8145878315
0,711,711,32,0.8525209427
0,777,777,50,0.8982639313
0,769,769,29,0.6756429672
0,515,515,39,0.5233819485
0,499,499,50,0.4948830605
0,501,501,30,0.622084856
0,696,696,39,0.8121550083
0,702,702,16,1.8328461647
0,1957,1957,49,4.6463911533
0,1960,1960,45,4.6091558933
0,1961,1961,9,4.8356490135
0,2000,2000,49,4.9342460632
0,2000,2000,50,4.8384947777
0,2000,2000,11,4.8086979389
0,1974,1974,45,4.7675521374
0,1974,1974,50,4.7257390022
0,1974,1974,30,4.6809201241
0,1929,1929,50,4.6944568157
0,1933,1933,15,4.0064599514
0,1507,1507,35,3.7844121456
0,1638,1638,42,3.7495129108
0,1500,1500,50,3.298197031
0,1497,1497,50,3.089163065
0,1493,1493,41,3.2173080444
0,1539,1539,50,3.1466760635
0,1535,1535,50,3.0349810123
0,1531,1531,50,2.9805979729
0,1519,1519,24,2.8265759945
0,1288,1288,50,2.6443648338
0,1290,1290,50,2.8602209091
0,1292,1292,24,1.7811009884
0,848,848,50,1.410284996
0,851,851,33,1.4800710678
0,853,853,24,0.750576973
0,512,512,50,0.5347149372
0,511,511,50,0.5201840401
0,511,511,23,0.8571479321
0,1055,1055,50,1.4008731842
0,1055,1055,50,1.461427927
0,1055,1055,23,1.3883080483
0,1038,1038,50,1.407269001
0,1035,1035,34,1.4127259255
0,1040,1040,25,1.5682680607
0,1152,1152,50,1.6635270119
0,1150,1150,50,1.6731548309
0,1155,1155,32,1.3575150967
0,906,906,36,0.9763000011
0,758,758,50,0.8835580349
0,777,777,38,1.1055498123
0,1003,1003,50,1.3256030083
0,1000,1000,32,1.4989600182
0,1142,1142,50,1.6706738472
0,1135,1135,50,1.6987390518
0,1140,1140,32,1.5735981464
0,1063,1063,50,1.4668960571
0,1077,1077,50,1.5031499863
0,1080,1080,50,1.5147571564
0,1077,1077,34,1.5391559601
0,1090,1090,50,1.5671260357
0,1089,1089,32,1.9882848263
0,1400,1400,50,2.5101001263
0,1401,1401,50,2.5564379692
0,1401,1401,36,2.3517839909
0,1278,1278,36,2.1432349682
0,1267,1267,50,2.2718038559
0,1274,1274,23,1.9428288937
0,1166,1166,50,1.7455718517
0,1163,1163,33,1.8102891445
0,1240,1240,50,1.9294807911
0,1240,1240,50,1.8959271908
0,1240,1240,30,1.8774430752
0,1492,1492,50,1.6465959549
0,1442,1442,50,1.651777029
0,1441,1441,40,1.5501580238
0,1354,1354,50,1.4586260319
0,1364,1364,50,1.4783620834
0,1363,1363,32,1.3501739502
0,1243,1243,50,1.274435997
0,1243,1243,25,1.26060009
0,1243,1243,38,1.2518160343
0,1240,1240,50,1.2319619656
0,1251,1251,9,2.0009281635
0,2000,2000,45,2.9959080219
0,2000,2000,45,3.1140949726
0,2000,2000,8,2.0290961266
