,"nfeatures","nmatches","ngoodmatches","reproj_error","ex_time"
0,2000,2000,50,"0,000002594","0,9292900562"
0,2000,2000,49,"0,6924480862","0,2514910698"
0,2000,2000,49,0,"0,2482709885"
0,2000,2000,48,"0,0357135137","0,2567899227"
0,2000,2000,49,0,"0,2525959015"
0,2000,2000,50,0,"0,2573611736"
0,2000,2000,50,"5,80497409986413E-07","0,2521538734"
0,2000,2000,49,0,"0,2502951622"
0,2000,2000,50,0,"0,2595379353"
0,2000,2000,47,"0,018896529","0,257791996"
0,2000,2000,47,0,"0,2515478134"
0,2000,2000,48,"3,61065531885901E-05","0,2462329865"
0,2000,2000,47,"1,18073962983631E-06","0,248032093"
0,2000,2000,48,"7,94728597005208E-08","0,2580668926"
0,2000,2000,44,0,"0,2575979233"
0,2000,2000,46,"0,6415257887","0,2594110966"
0,2000,2000,35,0,"0,2441148758"
0,2000,2000,39,"0,3392862521","0,2547900677"
0,2000,2000,32,0,"0,2465600967"
0,2000,2000,32,"0,7662547185","0,2504439354"
0,2000,2000,39,"9,65284264605979E-05","0,2592430115"
0,2000,2000,33,0,"0,2423689365"
0,2000,2000,38,"0,0009660721","0,2385828495"
0,2000,2000,35,"0,0001336557","0,2559959888"
0,2000,2000,35,0,"0,2591180801"
0,2000,2000,36,0,"0,2505619526"
0,2000,2000,42,"3,46790660511364E-07","0,248041153"
0,2000,2000,35,"0,2341161616","0,2525920868"
0,2000,2000,43,"1,41285083912037E-07","0,2623519897"
0,2000,2000,43,"3,54221888950893E-05","0,2489590645"
0,2000,2000,45,"4,45048014322917E-06","0,2741479874"
0,2000,2000,45,0,"0,2401740551"
0,2000,2000,47,"3,46790660511364E-07","0,265568018"
0,2000,2000,48,"2,54313151041667E-07","0,2526359558"
0,2000,2000,50,"3,2806396484375E-06","0,2499408722"
0,2000,2000,49,0,"0,2657711506"
0,2000,2000,47,"0,0140874335","0,2600238323"
0,2000,2000,48,"9,5367431640625E-07","0,256360054"
0,2000,2000,49,0,"0,2547039986"
0,2000,2000,48,"0,0994116278","0,2549200058"
0,2000,2000,47,"0,1089283699","0,2491149902"
0,2000,2000,44,"0,58233881","0,2566008568"
0,2000,2000,35,0,"0,2403039932"
0,2000,2000,28,0,"0,2391779423"
0,2000,2000,11,"0,5273123847","0,2397530079"
0,2000,2000,32,"0,6000160217","0,2206499577"
0,2000,2000,29,"0,7200980716","0,2541790009"
0,2000,2000,27,"0,4938463847","0,2464427948"
0,2000,2000,29,0,"0,261744976"
0,2000,2000,36,"0,957560621","0,2507970333"
0,2000,2000,37,"1,0267960866","0,2500379086"
0,2000,2000,31,"1,0632383927","0,2440359592"
0,2000,2000,31,"1,0368381076","0,2435510159"
0,2000,2000,25,"1,1420848083","0,243088007"
0,2000,2000,30,"1,1246986389","0,218888998"
0,2000,2000,22,"0,8909975688","0,241975069"
0,2000,2000,28,"1,5240306148","0,2165541649"
0,2000,2000,23,"1,5901641846","0,2409391403"
0,2000,2000,8,0,"0,2182929516"
0,2000,2000,28,0,"0,2142231464"
0,2000,2000,33,"0,4499999046","0,2575719357"
0,2000,2000,34,"0,5444450378","0,2449061871"
0,2000,2000,39,0,"0,2587749958"
0,2000,2000,8,"0,1104068756","0,2356319427"
0,2000,2000,30,0,"0,2188811302"
0,2000,2000,26,"0,5661254883","0,247325182"
0,2000,2000,9,"0,009690421","0,2566440105"
0,2000,2000,20,"0,0002367356","0,2250549793"
0,2000,2000,8,"0,5634109497","0,2156300545"
0,2000,2000,39,0,"0,2232749462"
0,2000,2000,43,0,"0,2620630264"
0,2000,2000,45,0,"0,2502360344"
0,2000,2000,39,0,"0,2505400181"
0,2000,2000,8,"39,0378551483","0,2407989502"
0,2000,2000,33,0,"0,2196419239"
0,2000,2000,30,"0,8506549835","0,2358908653"
0,2000,2000,17,0,"0,2554659843"
0,2000,2000,8,"0,1972579956","0,216356039"
0,2000,2000,49,"2,78155008951823E-07","0,2211899757"
0,2000,2000,47,"3,35859215777853E-06","0,2626268864"
0,2000,2000,50,"0,1957458334","0,2555830479"
0,2000,2000,50,"0,5958270264","0,2511510849"
0,2000,2000,21,0,"0,2436869144"
0,2000,2000,50,"2,1864398956","0,2289340496"
0,2000,2000,47,0,"0,2452230453"
0,2000,2000,43,"1,7081486551","0,2619819641"
0,2000,2000,33,"1,4997323354","0,2458310127"
0,2000,2000,8,0,"0,2406148911"
0,2000,2000,26,0,"0,2226450443"
0,2000,2000,19,"0,328985102","0,2479629517"
0,2000,2000,27,"0,9409039815","0,2162940502"
0,2000,2000,8,0,"0,2425570488"
0,2000,2000,29,0,"0,2193319798"
0,2000,2000,21,"0,3556076231","0,2417120934"
0,2000,2000,24,"0,2821048101","0,2233240604"
0,2000,2000,19,0,"0,2216300964"
0,2000,2000,8,0,"0,2164399624"
0,2000,2000,37,"6,35782877604167E-07","0,2254719734"
0,2000,2000,33,0,"0,2524158955"
0,2000,2000,40,"1,27156575520833E-06","0,2435390949"
0,2000,2000,41,0,"0,2542819977"
0,2000,2000,8,0,"0,235380888"
0,2000,2000,30,"1,2908325195","0,2258009911"
0,2000,2000,21,0,"0,2582719326"
0,2000,2000,16,0,"0,2210149765"
0,2000,2000,8,"4,8552480425","0,215692997"
0,2000,2000,45,0,"0,2256829739"
0,2000,2000,42,0,"0,2482731342"
0,2000,2000,44,"7,62939453125E-06","0,2586889267"
0,2000,2000,45,"0,2653158087","0,2567980289"
0,2000,2000,8,"5,4379266103","0,2527148724"
0,2000,2000,33,"0,2195724487","0,2238750458"
0,2000,2000,33,"1,24392302139946E-05","0,249078989"
0,2000,2000,41,"1,36239188058036E-06","0,2478189468"
0,2000,2000,8,"2,9211184184","0,2452828884"
0,2000,2000,50,"2,9211184184","0,2150850296"
0,2000,2000,48,0,"0,2313640118"
0,2000,2000,48,0,"0,2591788769"
0,2000,2000,50,0,"0,2602570057"
0,2000,2000,8,0,"0,2470219135"
0,2000,2000,21,"0,6888395037","0,2216341496"
0,2000,2000,16,0,"0,2216959"
0,2000,2000,20,0,"0,2322261333"
0,2000,2000,8,"42,8699547904","0,2176840305"
0,2000,2000,44,0,"0,223803997"
0,2000,2000,44,0,"0,2597529888"
0,2000,2000,45,0,"0,2400448322"
0,2000,2000,48,0,"0,2075500488"
0,2000,2000,8,0,"0,2198059559"
0,2000,2000,46,0,"0,230702877"
0,2000,2000,46,0,"0,2641129494"
0,2000,2000,41,0,"0,2581241131"
0,2000,2000,8,"3,289053599","0,2466311455"
0,2000,2000,50,"0,9016488791","0,2316961288"
0,2000,2000,49,"1,0368041992","0,264662981"
0,2000,2000,50,"1,0284348401","0,2572290897"
0,2000,2000,49,"0,9800986313","0,2590050697"
0,2000,2000,8,0,"0,2407329082"
0,2000,2000,33,0,"0,2213721275"
0,2000,2000,37,0,"0,264603138"
0,2000,2000,38,0,"0,2920370102"
0,2000,2000,36,0,"0,2723309994"
0,2000,2000,8,0,"0,2408919334"
0,2000,2000,27,"7,2479248046875E-05","0,2261919975"
0,2000,2000,28,0,"0,2546300888"
0,2000,2000,39,0,"0,2537760735"
0,2000,2000,8,"9,3407688141","0,2448160648"
0,2000,2000,29,"0,000031558","0,2243471146"
0,2000,2000,30,0,"0,2497751713"
0,2000,2000,32,"4,22341482979911E-06","0,2507550716"
0,2000,2000,34,"5,99452427455357E-06","0,2485048771"
0,2000,2000,8,0,"0,2522959709"
0,2000,2000,50,"1,94973415798611E-06","0,2407000065"
0,2000,2000,49,"1,66893005371094E-06","0,2563478947"
0,2000,2000,49,"1,8684231505102E-06","0,2453911304"
0,2000,2000,8,"12,4674545288","0,2537620068"
0,2000,2000,25,0,"0,2269871235"
0,2000,2000,24,"0,5766548157","0,2280561924"
0,2000,2000,36,0,"0,2268869877"
0,2000,2000,25,0,"0,2489068508"
0,2000,2000,8,0,"0,2198171616"
0,2000,2000,50,"4,730224609375E-06","0,2362589836"
0,2000,2000,49,"4,67105787627551E-06","0,2649469376"
0,2000,2000,48,"4,57763671875E-07","0,2596459389"
0,2000,2000,8,0,"0,2605168819"
0,2000,2000,31,"0,7914918753","0,2279939651"
0,2000,2000,35,"0,8943980722","0,2597849369"
0,2000,2000,27,0,"0,2521569729"
0,2000,2000,28,0,"0,2531759739"
0,2000,2000,8,"36,1268167496","0,2531118393"
0,2000,2000,24,"0,0001252118","0,2342669964"
0,2000,2000,28,"0,0001262665","0,2248909473"
0,2000,2000,32,0,"0,2525479794"
0,2000,2000,31,0,"0,2634568214"
0,2000,2000,8,"0,7423934937","0,2474739552"
0,2000,2000,46,"0,3496918311","0,2359809875"
0,2000,2000,48,"0,4049974329","0,2630040646"
0,2000,2000,49,0,"0,2589819431"
0,2000,2000,8,0,"0,2459878922"
0,2000,2000,23,"0,8478468032","0,2273759842"
0,2000,2000,29,0,"0,2299859524"
0,2000,2000,27,0,"0,2564971447"
0,2000,2000,27,0,"0,2531919479"
0,2000,2000,8,"118,0265060067","0,2499339581"
0,2000,2000,33,"2,4530129609","0,2215719223"
0,2000,2000,28,"2,5781803131","0,2507710457"
0,2000,2000,26,0,"0,245126009"
0,2000,2000,26,"2,175797896","0,2487940788"
0,2000,2000,8,"26,9109802246","0,2394371033"
0,2000,2000,30,"0,9692705328","0,2223658562"
0,2000,2000,38,"0,9397100969","0,2557389736"
0,2000,2000,34,"0,9780974137","0,245223999"
0,2000,2000,28,"0,834941864","0,266767025"
0,2000,2000,8,0,"0,238547802"
0,2000,2000,27,"0,000285848","0,2294809818"
0,2000,2000,35,"8,7074611497962E-05","0,2390019894"
0,2000,2000,42,0,"0,2578191757"
0,2000,2000,31,0,"0,2536170483"
0,2000,2000,8,0,"0,247095108"
0,2000,2000,30,0,"0,2198340893"
0,2000,2000,24,"3,53495279947917E-05","0,255507946"
0,2000,2000,23,0,"0,2273199558"
