,"nfeatures","nmatches","ngoodmatches","reproj_error","ex_time"
0,2000,2000,50,"0,000000772","0,5116460323"
0,2000,2000,49,0,"0,210447073"
0,2000,2000,49,0,"0,2127759457"
0,2000,2000,48,"4,23855251736111E-07","0,2002081871"
0,2000,2000,49,0,"0,2025859356"
0,2000,2000,50,"7,00658681441327E-07","0,2075250149"
0,2000,2000,50,0,"0,2014739513"
0,2000,2000,49,"0,000000545","0,2055160999"
0,2000,2000,50,0,"0,207928896"
0,2000,2000,47,"3,62810881241508E-06","0,2057659626"
0,2000,2000,47,0,"0,2017810345"
0,2000,2000,48,0,"0,2021279335"
0,2000,2000,47,"2,25413929332386E-06","0,2001948357"
0,2000,2000,48,"2,14576721191406E-06","0,1979758739"
0,2000,2000,44,0,"0,2036249638"
0,2000,2000,46,0,"0,1985149384"
0,2000,2000,35,0,"0,2028589249"
0,2000,2000,39,0,"0,2016220093"
0,2000,2000,32,0,"0,201169014"
0,2000,2000,32,0,"0,2026410103"
0,2000,2000,39,"0,0002727509","0,2028968334"
0,2000,2000,33,0,"0,2050759792"
0,2000,2000,38,"0,0010446821","0,2068960667"
0,2000,2000,35,"0,000453186","0,2012600899"
0,2000,2000,35,0,"0,2054588795"
0,2000,2000,36,"0,0030275981","0,2027249336"
0,2000,2000,42,"8,0108642578125E-06","0,2023730278"
0,2000,2000,35,0,"0,2033510208"
0,2000,2000,43,0,"0,2046210766"
0,2000,2000,43,0,"0,1992518902"
0,2000,2000,45,"4,97569208559783E-07","0,202767849"
0,2000,2000,45,0,"0,2038860321"
0,2000,2000,47,0,"0,2000820637"
0,2000,2000,48,"2,11025806183511E-06","0,2055749893"
0,2000,2000,50,0,"0,1983549595"
0,2000,2000,49,"4,30167989527926E-06","0,209895134"
0,2000,2000,47,"0,000000093","0,2051279545"
0,2000,2000,48,0,"0,2042968273"
0,2000,2000,49,"1,30789620535714E-06","0,2026519775"
0,2000,2000,48,"3,26974051339286E-06","0,2084181309"
0,2000,2000,47,"1,17806827320772E-06","0,2068781853"
0,2000,2000,44,0,"0,2044680119"
0,2000,2000,35,0,"0,2066788673"
0,2000,2000,28,"3,814697265625E-06","0,2015211582"
0,2000,2000,11,"0,5273123847","0,2189078331"
0,2000,2000,32,"0,6000160217","0,2204408646"
0,2000,2000,29,"0,7200980716","0,2618880272"
0,2000,2000,27,"0,4938463847","0,25801301"
0,2000,2000,29,0,"0,2397079468"
0,2000,2000,36,"0,957560621","0,2268528938"
0,2000,2000,37,"1,0267960866","0,2453110218"
0,2000,2000,31,"1,0632383927","0,2525169849"
0,2000,2000,31,"1,0368381076","0,2605540752"
0,2000,2000,25,"1,1420848083","0,2483839989"
0,2000,2000,30,"1,1246986389","0,217744112"
0,2000,2000,22,"0,8909975688","0,2501130104"
0,2000,2000,28,"1,5240306148","0,2279250622"
0,2000,2000,23,"1,5901641846","0,2489950657"
0,2000,2000,27,"1,0818224455","0,2341291904"
0,2000,2000,27,"0,8717279434","0,2477400303"
0,2000,2000,31,0,"0,2473769188"
0,2000,2000,24,"1,6124539095","0,2440948486"
0,2000,2000,24,"1,4809745153","0,2219619751"
0,2000,2000,25,0,"0,2225720882"
0,2000,2000,28,0,"0,2275838852"
0,2000,2000,37,"1,5641497019","0,249890089"
0,2000,2000,37,"1,3709753913","0,2465867996"
0,2000,2000,41,"1,1539565296","0,2552340031"
0,2000,2000,48,"0,9663959927","0,2624461651"
0,2000,2000,50,"3,814697265625E-06","0,2198588848"
0,2000,2000,8,0,"0,2266628742"
0,2000,2000,39,0,"0,2272469997"
0,2000,2000,30,0,"0,2507309914"
0,2000,2000,32,0,"0,2563529015"
0,2000,2000,8,"13,0390033722","0,2476708889"
0,2000,2000,30,"0,0001296997","0,205395937"
0,2000,2000,25,0,"0,2059419155"
0,2000,2000,29,"4,85506924715909E-06","0,2101550102"
0,2000,2000,23,"0,5917020525","0,2296760082"
0,2000,2000,8,"0,8076543808","0,2183740139"
0,2000,2000,41,"0,0007451685","0,2280299664"
0,2000,2000,38,0,"0,2547929287"
0,2000,2000,37,0,"0,244836092"
0,2000,2000,8,"15,8276071548","0,2465350628"
0,2000,2000,27,0,"0,2233071327"
0,2000,2000,20,"0,8994344076","0,2533020973"
0,2000,2000,25,0,"0,2109987736"
0,2000,2000,43,0,"0,2092440128"
0,2000,2000,8,"9,656350272","0,2153458595"
0,2000,2000,50,"1,57075769761029E-06","0,2038128376"
0,2000,2000,50,"0,000005722","0,2036139965"
0,2000,2000,49,"1,9073486328125E-06","0,200783968"
0,2000,2000,50,0,"0,2004878521"
0,2000,2000,8,"31,2550497055","0,2199819088"
0,2000,2000,43,"1,7081486551","0,2313640118"
0,2000,2000,33,"1,4997323354","0,2552490234"
0,2000,2000,27,"3,0517578125E-05","0,2355570793"
0,2000,2000,15,0,"0,2279319763"
0,2000,2000,8,"4,6144744873","0,2168819904"
0,2000,2000,15,0,"0,2271950245"
0,2000,2000,26,0,"0,2279999256"
0,2000,2000,19,"0,328985102","0,2600090504"
0,2000,2000,27,"0,9409039815","0,2275488377"
0,2000,2000,9,"1,071710859","0,26227808"
0,2000,2000,19,0,"0,2260699272"
0,2000,2000,12,"0,721072197","0,2164378166"
0,2000,2000,12,0,"0,2195699215"
0,2000,2000,8,0,"0,2210140228"
0,2000,2000,33,"1,9073486328125E-06","0,2055940628"
0,2000,2000,40,"1,34636374080882E-06","0,2073578835"
0,2000,2000,41,"5,7220458984375E-07","0,205491066"
0,2000,2000,46,"1,57075769761029E-06","0,2068488598"
0,2000,2000,8,0,"0,218736887"
0,2000,2000,24,0,"0,2155539989"
0,2000,2000,33,0,"0,2062649727"
0,2000,2000,40,0,"0,2069149017"
0,2000,2000,47,0,"0,2056829929"
0,2000,2000,8,"1,2939211528","0,2184379101"
0,2000,2000,45,0,"0,20414114"
0,2000,2000,42,0,"0,2056760788"
0,2000,2000,44,0,"0,2053408623"
0,2000,2000,8,"2,1400566101","0,2190799713"
0,2000,2000,33,0,"0,2108130455"
0,2000,2000,33,"0,000043869","0,2048938274"
0,2000,2000,41,0,"0,2069158554"
0,2000,2000,44,"3,35693359375E-05","0,2064611912"
0,2000,2000,8,0,"0,2180349827"
0,2000,2000,50,"3,814697265625E-06","0,2078039646"
0,2000,2000,48,0,"0,2028608322"
0,2000,2000,48,"9,5367431640625E-07","0,2042839527"
0,2000,2000,50,0,"0,2077658176"
0,2000,2000,8,0,"0,2211329937"
0,2000,2000,31,0,"0,2214109898"
0,2000,2000,23,"1,4921350064","0,2530629635"
0,2000,2000,16,0,"0,2261428833"
0,2000,2000,21,"0,6888395037","0,2343831062"
0,2000,2000,8,0,"0,2194461823"
0,2000,2000,44,0,"0,2335319519"
0,2000,2000,44,0,"0,2575891018"
0,2000,2000,45,"1,5863587273","0,2346098423"
0,2000,2000,8,0,"0,218337059"
0,2000,2000,41,0,"0,2291069031"
0,2000,2000,44,0,"0,2368650436"
0,2000,2000,46,"7,62939453125E-06","0,2041399479"
0,2000,2000,46,0,"0,2354698181"
0,2000,2000,8,"18,1713132858","0,2503681183"
0,2000,2000,50,0,"0,2045550346"
0,2000,2000,50,0,"0,2084419727"
0,2000,2000,49,"1,0368041992","0,2373290062"
0,2000,2000,50,0,"0,2354009151"
0,2000,2000,8,"10,6627000173","0,2278699875"
0,2000,2000,33,"1,1816651893","0,2106370926"
0,2000,2000,28,0,"0,2251420021"
0,2000,2000,33,"0,5667416499","0,2540168762"
0,2000,2000,37,0,"0,2549550533"
0,2000,2000,8,0,"0,2570729256"
0,2000,2000,23,"0,8473751886","0,2365150452"
0,2000,2000,20,"0,9791619778","0,234290123"
0,2000,2000,28,0,"0,22615695"
0,2000,2000,8,0,"0,2414460182"
0,2000,2000,37,"6,55916002061632E-05","0,2259199619"
0,2000,2000,39,0,"0,2509691715"
0,2000,2000,34,0,"0,2335109711"
0,2000,2000,32,0,"0,2115931511"
0,2000,2000,8,"6,5169820786","0,2268958092"
0,2000,2000,37,0,"0,2077908516"
0,2000,2000,28,0,"0,2113740444"
0,2000,2000,32,"0,0004177094","0,2111458778"
0,2000,2000,32,"0,0002915519","0,2112319469"
0,2000,2000,8,"7,362685442","0,2268550396"
0,2000,2000,27,0,"0,2162227631"
0,2000,2000,30,0,"0,2079699039"
0,2000,2000,26,0,"0,2127430439"
0,2000,2000,23,"0,0001983643","0,2231400013"
0,2000,2000,8,"22,9266662598","0,2431221008"
0,2000,2000,49,0,"0,2092170715"
0,2000,2000,49,"2,56908183195153E-06","0,2161221504"
0,2000,2000,48,0,"0,2097809315"
0,2000,2000,8,"1,6074714661","0,2197508812"
0,2000,2000,43,"0,000001734","0,2062001228"
0,2000,2000,36,"2,14576721191406E-06","0,2104167938"
0,2000,2000,32,"1,1444091796875E-06","0,2093498707"
0,2000,2000,32,"4,425048828125E-05","0,2153069973"
0,2000,2000,8,"4,8839859962","0,2277638912"
0,2000,2000,12,0,"0,2249889374"
0,2000,2000,20,0,"0,2346711159"
0,2000,2000,17,0,"0,23478508"
0,2000,2000,23,0,"0,2299368382"
0,2000,2000,8,"2,9632568359","0,2314350605"
0,2000,2000,48,"1,9073486328125E-06","0,2104940414"
0,2000,2000,48,0,"0,2098960876"
0,2000,2000,50,0,"0,2071871758"
0,2000,2000,50,"1,95625500801282E-07","0,2098879814"
0,2000,2000,8,"3,1701126099","0,229596138"
0,2000,2000,37,0,"0,2119381428"
0,2000,2000,39,"2,00773540296053E-06","0,2144298553"
0,2000,2000,35,0,"0,2096180916"
0,2000,2000,34,"1,79515165441176E-06","0,2134821415"
0,2000,2000,8,"31,7764472961","0,2255821228"
0,2000,2000,18,0,"0,2215130329"
0,2000,2000,27,0,"0,2121858597"
0,2000,2000,24,0,"0,2189340591"
0,2000,2000,8,0,"0,225372076"
0,2000,2000,31,"1,7135046682","0,2384941578"
0,2000,2000,31,0,"0,2741971016"
0,2000,2000,28,"1,7572484016","0,2624428272"
0,2000,2000,25,0,"0,2572879791"
0,2000,2000,8,0,"0,2200250626"
