,"nfeatures","nmatches","ngoodmatches","reproj_error","ex_time"
0,1762,1762,1762,0,"1,5457310677"
0,1762,1762,17,0,"0,8343980312"
0,1761,1761,14,"0,9990158081","0,9178578854"
0,1736,1736,14,"0,6705365181","7,2935628891"
0,1756,1756,14,0,"7,3926968575"
0,1801,1801,15,0,"0,857475996"
0,1779,1779,15,0,"0,8283479214"
0,1801,1801,15,"0,0594266256","0,9547960758"
0,1894,1894,17,"0,1740426381","0,8676199913"
0,1854,1854,15,"1,0003836496","0,853025198"
0,1851,1851,14,"0,1271911349","3,2011868954"
0,1826,1826,16,"0,5913505554","0,9339330196"
0,1807,1807,15,"0,9881864028","0,9553620815"
0,1801,1801,15,"0,5340328217","0,8262181282"
0,1843,1843,15,"0,506757609","0,9380469322"
0,1812,1812,15,"0,6128056844","0,9026930332"
0,1792,1792,14,0,"0,9232320786"
0,1757,1757,15,"0,8208559354","0,9470279217"
0,1850,1850,14,0,"2,3674058914"
0,1767,1767,14,"1,9709261114","1,5991001129"
0,1745,1745,15,0,"0,8077130318"
0,1748,1748,15,"0,4675575256","0,8164699078"
0,1787,1787,15,"0,6041090224","0,8147380352"
0,1765,1765,14,0,"4,0180449486"
0,1755,1755,16,0,"0,7853329182"
0,1719,1719,14,0,"1,5520679951"
0,1724,1724,17,0,"0,7566030025"
0,1687,1687,14,0,"0,7613990307"
0,1728,1728,14,0,"2,1274578571"
0,1665,1665,14,0,"12,1205060482"
0,1666,1666,14,0,"0,7651309967"
0,1660,1660,16,0,"0,7745838165"
0,1771,1771,4,0,"0,3520240784"
0,789,789,14,"1,7776743571","0,3823900223"
0,809,809,15,"2,5526035015","0,3801078796"
0,853,853,15,0,"0,3882958889"
0,852,852,13,"1,6150639852","0,4544620514"
0,836,836,13,"29,9288787842","10,3717260361"
0,1135,1135,14,"1,6660107204","0,9089169502"
0,1094,1094,15,0,"0,4733598232"
0,1116,1116,15,"0,8749972752","0,4958930016"
0,1105,1105,0,"0,8749972752","0,3610818386"
0,1220,1220,14,0,"11,8095788956"
0,1212,1212,14,"1,3717169762","0,5311949253"
0,1223,1223,14,"1,1512449265","0,599752903"
0,1187,1187,6,"1,1512449265","0,3108439445"
0,844,844,13,"5,8730351375","0,3607759476"
0,842,842,14,"3,07056427","0,7745368481"
0,861,861,15,"3,208306746","0,4071691036"
0,830,830,13,"3,2869851249","0,3552641869"
0,845,845,3,"3,2869851249","0,3645739555"
0,1499,1499,15,"4,1077728271","0,6697130203"
0,1446,1446,14,0,"3,9060590267"
0,1468,1468,14,0,"0,6005511284"
0,1421,1421,2,0,"0,5620551109"
0,2068,2068,14,"5,2952754974","1,0298027992"
0,2012,2012,15,0,"0,8956720829"
0,2036,2036,14,0,"1,9727408886"
0,2357,2357,15,0,"1,1343388557"
0,2323,2323,2,0,"0,7716670036"
0,2280,2280,13,"2,3509614733","3,3030190468"
0,2240,2240,13,"8,1146240234","0,8646588326"
0,2228,2228,12,"0,3888435364","0,8208498955"
0,2254,2254,12,"0,5970790863","0,8513879776"
0,2178,2178,11,"26,7999801636","0,7475919724"
0,2111,2111,12,"1,4169785182","0,9106359482"
0,2115,2115,12,"0,2319766998","0,8143489361"
0,2115,2115,11,"0,6391143799","0,7966759205"
0,2076,2076,0,"0,6391143799","0,6035199165"
0,1555,1555,14,0,"0,9166409969"
0,1569,1569,13,"0,471113205","0,7637739182"
0,1593,1593,13,"0,7213233948","10,47645998"
0,1605,1605,16,"0,5128338337","0,6720290184"
0,1650,1650,0,"0,5128338337","0,235049963"
0,299,299,13,0,"0,2523999214"
0,321,321,12,0,"0,2330849171"
0,301,301,13,"3,0610408783","0,8526780605"
0,300,300,2,"3,0610408783","0,208356142"
0,40,40,8,0,"0,2092690468"
0,35,35,10,0,"0,2123968601"
0,38,38,7,0,"0,1888611317"
0,31,31,8,"0,166683742","0,1963410378"
0,38,38,0,"0,166683742","0,1822037697"
0,37,37,10,"0,480082194","0,2027649879"
0,39,39,11,"0,4226806641","0,212138176"
0,38,38,9,"0,3207893372","0,2268209457"
0,44,44,10,0,"0,2059559822"
0,37,37,0,0,"0,2162129879"
0,551,551,13,"0,2590942383","0,2992610931"
0,541,541,13,"0,0111728244","1,4315490723"
0,548,548,15,"1,1760686239","0,3156940937"
0,569,569,15,"1,2531845093","0,4121060371"
0,511,511,6,"1,2531845093","0,4566230774"
0,918,918,14,"2,0277468363","2,8987989426"
0,902,902,13,"1,6160486395","0,5033240318"
0,1961,1961,1961,0,"1,483494997"
0,1961,1961,17,"0,8572108929","0,9283750057"
0,1954,1954,14,"1,1631902059","2,6427240372"
0,1930,1930,14,"0,9030618668","3,5571551323"
0,1847,1847,15,"0,8425687154","0,9687709808"
0,1931,1931,15,"0,805961132","0,9607729912"
0,1931,1931,14,"0,2015228271","0,9578709602"
0,1941,1941,15,"0,3396997452","0,9238128662"
0,1850,1850,15,"0,3546544393","5,942278862"
0,1934,1934,15,"0,0972900391","0,9939770699"
0,1936,1936,15,"0,4804475572","0,9646778107"
0,1885,1885,15,"0,1266703606","0,9556219578"
0,1860,1860,16,"0,6989123027","0,9615449905"
0,1888,1888,15,"0,6735954285","1,0301630497"
0,1866,1866,15,"1,6991202037","0,9697999954"
0,1875,1875,14,"0,1897541193","0,9299790859"
0,1849,1849,15,0,"0,9399888515"
0,1882,1882,14,"1,1136234147","5,918900013"
0,1844,1844,15,"1,0070142746","0,9260299206"
0,1890,1890,15,"0,8248485218","0,9169130325"
0,1855,1855,15,"3,4180049896","0,9042048454"
0,1836,1836,15,"0,7549235026","0,8803310394"
0,1827,1827,15,"1,9446005821","0,8853139877"
0,1884,1884,15,"1,8142903646","1,2678580284"
0,1841,1841,15,"1,5279379951","0,903126955"
0,1858,1858,17,"1,3431591988","0,8921148777"
0,1877,1877,15,"1,7513208389","0,9428460598"
0,1860,1860,14,0,"13,4098360538"
0,1836,1836,14,"1,1993623461","1,9478728771"
0,1837,1837,15,"1,1523001989","0,856055975"
0,1814,1814,14,"3,6311049028","3,5342302322"
0,1856,1856,15,"1,281972445","0,9130311012"
0,1825,1825,14,"1,5875148773","4,8585090637"
0,1817,1817,16,"1,3496954176","0,8495240211"
0,1850,1850,10,"67,0610961914","0,5607018471"
0,1635,1635,14,"1,1103766305","2,4928939342"
0,1698,1698,14,"2,389906311","0,8314819336"
0,1669,1669,15,"1,1175613403","0,821518898"
0,1615,1615,2,"1,1175613403","0,5826320648"
0,1775,1775,15,0,"0,9186160564"
0,1821,1821,14,"0,2376873493","0,934196949"
0,1805,1805,13,"0,2442915175","0,9270980358"
0,1798,1798,15,"0,668217659","0,9257001877"
0,1793,1793,11,0,"0,6395459175"
0,1801,1801,14,"1,5789192745","0,9584538937"
0,1853,1853,14,"1,4170161656","1,2581009865"
0,1829,1829,14,"1,6586322784","0,8697109222"
0,1815,1815,13,"0,9343719482","1,7580800056"
0,1738,1738,3,"0,9343719482","0,6162600517"
0,2058,2058,15,"2,1393726349","1,0670850277"
0,2110,2110,16,"1,6567160866","1,1226451397"
0,2112,2112,15,"1,5621760975","1,0347270966"
0,2043,2043,14,"1,9318091075","14,4014627934"
0,2087,2087,3,"1,9318091075","0,8897430897"
0,2868,2868,16,0,"1,6785049438"
0,2923,2923,15,0,"1,7958440781"
0,2941,2941,15,"0,6928240458","2,0894999504"
0,2941,2941,2,"0,6928240458","1,2671189308"
0,3434,3434,15,"0,4770678007","2,2703700066"
0,3472,3472,14,"0,7163148608","2,4434759617"
0,3473,3473,15,"1,5810985565","2,2658770084"
0,3450,3450,15,"1,1604552587","2,2697620392"
0,3481,3481,2,"1,1604552587","1,4725911617"
0,3310,3310,15,"0,3556785583","2,0647201538"
0,3295,3295,16,0,"2,1053040028"
0,3271,3271,16,0,"2,1577661037"
0,3292,3292,15,"1,0385105133","2,1970210075"
0,3285,3285,3,"1,0385105133","1,4562928677"
0,2575,2575,14,0,"3,6870498657"
0,2545,2545,14,"2,1665534973","3,50649786"
0,2570,2570,14,"1,9537811279","1,5570580959"
0,2551,2551,13,0,"1,4904801846"
0,2018,2018,14,0,"0,9967858791"
0,2034,2034,14,0,"1,2064108849"
0,2064,2064,16,"0,1795406342","1,1085088253"
0,2058,2058,15,"0,5926926931","1,3313241005"
0,2073,2073,4,"0,5926926931","0,8972680569"
0,2972,2972,18,"3,0205886841","1,7507309914"
0,2988,2988,16,0,"1,8625240326"
0,2972,2972,16,0,"1,8389189243"
0,3025,3025,17,0,"1,7739260197"
0,2995,2995,2,0,"1,070389986"
0,2553,2553,16,0,"1,7231740952"
0,2613,2613,16,"2,8479316711","1,4837870598"
0,2607,2607,15,0,"1,5574810505"
0,2627,2627,15,0,"1,5026490688"
0,2605,2605,1,0,"0,7877411842"
0,2078,2078,14,"2,0570747852","1,199917078"
0,2104,2104,15,"2,073299408","1,023717165"
0,2094,2094,14,"1,7830746969","1,2184429169"
0,2126,2126,2,"1,7830746969","0,3954708576"
0,805,805,14,"2,2394714355","0,3969888687"
0,749,749,15,"2,4653016871","0,3922111988"
0,755,755,13,"2,8297920227","1,2188298702"
0,1345,1345,1345,"5,93753961416391E-07","129,391174078"
0,1345,1345,16,"0,2382736206","0,5881929398"
0,1320,1320,16,"0,3395996094","0,6201519966"
0,1344,1344,14,0,"0,5474431515"
0,1273,1273,14,"1,5760062081","1,0784721375"
0,1278,1278,14,"1,9486285618","0,5732159615"
0,1320,1320,14,0,"0,5590369701"
0,1307,1307,15,"1,0793848674","0,5654318333"
0,1306,1306,14,"0,4860034519","0,5403780937"
0,1263,1263,13,"1,3307377208","0,6572139263"
0,1278,1278,14,"1,5854360407","0,580889225"
0,1285,1285,14,0,"1,6806530952"
0,1291,1291,14,"1,134047917","0,5293040276"
0,1275,1275,13,0,"0,5311231613"
0,1274,1274,13,"1,1251396179","5,8762140274"
0,1256,1256,16,"1,7231330474","0,5499370098"
0,1262,1262,14,0,"0,5103309155"
0,1216,1216,14,"1,7680162702","0,5507729053"
0,1237,1237,13,"1,4697542191","1,1062200069"
0,1232,1232,15,"2,3877995809","0,491547823"
0,1215,1215,16,"1,4635631016","0,528881073"
0,1218,1218,14,"1,1296042034","0,5164661407"
0,1214,1214,15,"1,8374413384","0,5323531628"
0,1207,1207,15,"1,969247818","1,4152801037"
0,1185,1185,2,"1,969247818","0,4661979675"
0,1810,1810,15,0,"7,0799598694"
0,1826,1826,14,0,"0,7742331028"
0,1843,1843,14,"0,045902888","2,3771879673"
0,1838,1838,14,0,"0,83456707"
0,1769,1769,16,"0,9785718918","0,8361160755"
0,1759,1759,13,0,"1,0955221653"
0,1815,1815,15,"1,4254670577","0,9000627995"
0,1814,1814,14,"0,3616507394","0,847329855"
0,1817,1817,15,"0,3094734779","0,8003611565"
0,1783,1783,9,0,"0,6184160709"
0,1965,1965,16,0,"0,9327139854"
0,1929,1929,15,0,"0,9188868999"
0,1970,1970,14,0,"0,997178793"
0,1907,1907,13,0,"2,1513488293"
0,1864,1864,11,"445,6374628544","0,6627750397"
0,2060,2060,15,"1,3414764404","1,0323109627"
0,2072,2072,15,0,"1,001748085"
0,2104,2104,16,"1,4126011985","0,9731500149"
0,2062,2062,6,"1,4126011985","0,7205250263"
0,2320,2320,15,"1,3123138428","1,1487369537"
0,2293,2293,15,0,"1,1503858566"
0,2316,2316,16,"1,7751776955","1,1632289886"
0,2322,2322,15,"1,0012016296","1,1521110535"
0,2296,2296,7,"1,0012016296","0,675481081"
0,1899,1899,14,0,"1,5874328613"
0,1958,1958,15,0,"0,8523979187"
0,1959,1959,14,"2,62586689","1,004625082"
0,1908,1908,15,"2,4309242249","0,883769989"
0,1940,1940,2,"2,4309242249","0,6872301102"
0,2198,2198,17,"1,8344418582","11,149900198"
0,2254,2254,15,"3,2401909461","1,0951058865"
0,2213,2213,14,0,"4,3256208897"
0,2230,2230,15,0,"7,3796000481"
0,2193,2193,1,0,"0,5158979893"
0,1322,1322,14,"2,0360418955","11,6724948883"
0,1368,1368,14,"1,7569452922","0,669367075"
0,1347,1347,14,0,"1,4174489975"
0,1349,1349,14,0,"0,5763111115"
0,1339,1339,13,"135,9162585919","0,4874269962"
