,nfeatures,nmatches,ngoodmatches,ex_time
0,373,373,373,5.0239889622
0,373,373,1,3.8878321648
0,98,98,1,3.801710844
0,382,382,1,2.9193179607
0,98,98,1,3.0005550385
0,496,496,1,3.1851460934
0,98,98,1,2.9991550446
0,494,494,0,3.0484061241
0,100,100,1,2.9399631023
0,506,506,1,3.3700830936
0,95,95,1,3.3336341381
0,506,506,1,3.4751501083
0,95,95,1,3.3527610302
0,363,363,1,2.9828660488
0,95,95,1,2.9349119663
0,372,372,0,2.8707668781
0,120,120,0,2.7978179455
0,369,369,0,2.8687560558
0,107,107,0,2.9111340046
0,378,378,2,2.8416280747
0,127,127,2,2.8116760254
0,378,378,2,3.5585918427
0,123,123,0,3.0028679371
0,327,327,0,2.8914020062
0,127,127,0,2.8696401119
0,324,324,314,3.4399490356
0,322,322,1,2.8294761181
0,115,115,2,2.7710950375
0,207,207,1,2.6753048897
0,88,88,1,2.7502741814
0,205,205,4,2.7775809765
0,137,137,126,2.7560398579
0,135,135,130,2.8409471512
0,139,139,2,2.7268121243
0,124,124,119,2.7165379524
0,124,124,120,2.6492729187
0,124,124,3,2.7843680382
0,116,116,114,2.689825058
0,121,121,7,2.6727399826
0,178,178,5,2.9859979153
0,401,401,4,3.0567030907
0,252,252,233,3.2300460339
0,256,256,3,2.7965438366
0,150,150,146,2.713342905
0,147,147,2,2.981333971
0,481,481,481,4.3019189835
0,481,481,481,4.2738070488
0,481,481,56,3.3906888962
0,389,389,3,3.0620770454
0,170,170,7,2.9217131138
0,229,229,207,3.0516409874
0,229,229,8,2.8318378925
0,183,183,183,2.8106160164
0,183,183,2,3.1721799374
0,536,536,152,3.9569242001
0,747,747,719,6.0700778961
0,755,755,743,6.212321043
0,750,750,0,3.3560721874
0,218,218,209,2.9749689102
0,219,219,45,2.8677420616
0,220,220,3,4.0436649323
0,1544,1544,951,11.5093522072
0,1554,1554,1371,14.5907320976
0,1522,1522,344,8.2358140945
0,1563,1563,1428,14.8602688313
0,1592,1592,1485,15.2520599365
0,1568,1568,662,9.9442670345
0,1717,1717,1575,17.4712240696
0,1755,1755,14,7.3719580174
0,1179,1179,1142,10.0427742004
0,1176,1176,1169,10.1969459057
0,1175,1175,137,4.7505059242
0,820,820,713,6.0529241562
0,847,847,840,6.4766759872
0,845,845,57,4.8871090412
0,1233,1233,1149,10.1893489361
0,1218,1218,1181,10.4102790356
0,1222,1222,3,3.2848711014
0,74,74,71,2.4116230011
0,73,73,0,2.3452720642
0,65,65,65,2.2856199741
0,65,65,3,2.3370969296
0,67,67,1,2.4361469746
0,63,63,61,2.3392810822
0,62,62,61,2.4366300106
0,63,63,1,2.8736419678
0,732,732,470,4.6077718735
0,709,709,636,5.1583299637
0,716,716,2,2.9585969448
0,124,124,19,2.3880460262
0,104,104,0,2.4475238323
0,98,98,6,2.3579800129
0,92,92,85,2.4904630184
0,87,87,1,2.718077898
0,35,35,2,2.3278410435
0,81,81,81,2.3268859386
0,81,81,2,2.3306429386
0,82,82,81,2.3320379257
0,81,81,81,2.3817439079
0,81,81,7,2.3031151295
0,66,66,6,2.3051328659
0,90,90,88,2.3421399593
0,90,90,17,2.3554978371
0,95,95,8,2.3555340767
0,94,94,9,2.3502531052
0,101,101,9,2.4027159214
0,108,108,105,2.3861470223
0,108,108,2,2.2748370171
0,67,67,67,2.3176438808
0,67,67,67,2.2619040012
0,67,67,1,2.2153840065
0,67,67,67,2.2400119305
0,67,67,67,2.3418791294
0,67,67,7,2.330851078
0,98,98,97,2.325373888
0,97,97,97,2.3399281502
0,97,97,1,2.4997270107
0,280,280,264,2.8780930042
0,282,282,251,1.894441843
0,299,299,1,1.7028410435
0,209,209,209,1.7449030876
0,209,209,5,1.6160719395
0,153,153,152,1.7028338909
0,157,157,157,1.6833429337
0,157,157,5,1.5753471851
0,184,184,176,1.6923041344
0,182,182,181,1.6873350143
0,184,184,1,1.8601160049
0,711,711,691,3.2671010494
0,713,713,626,3.1610171795
0,726,726,65,2.3429489136
0,652,652,3,1.8472840786
0,89,89,5,1.5519909859
0,90,90,90,1.5770618916
0,90,90,8,1.5405709744
0,96,96,2,1.4706480503
0,63,63,62,1.4958450794
0,64,64,64,1.4825870991
0,64,64,5,1.4679040909
