,"nfeatures","nmatches","ngoodmatches","reproj_error","ex_time"
0,783,783,783,0,"13,3437461853"
0,783,783,13,"0,1731984065","0,3742489815"
0,834,834,13,"3,5257121495","0,3636240959"
0,806,806,13,"0,0020154317","0,3628821373"
0,819,819,13,"1,6475360577","0,3597149849"
0,856,856,13,"0,4068116275","0,3624680042"
0,861,861,15,"0,0216347831","0,3637759686"
0,863,863,15,"0,1371251424","0,3637578487"
0,877,877,14,"0,0815862928","0,4085700512"
0,873,873,13,"0,0369422219","0,3666770458"
0,846,846,13,0,"0,359017849"
0,873,873,14,0,"0,4751861095"
0,900,900,15,"0,3798128764","0,3735330105"
0,893,893,15,"0,7279663086","0,3746910095"
0,899,899,13,0,"0,3764359951"
0,936,936,14,"0,1429860592","0,4719128609"
0,920,920,13,"0,2078984578","0,3990809917"
0,965,965,14,"0,1153629848","0,8974149227"
0,942,942,15,"8,9799537659","0,3745610714"
0,935,935,14,"0,5747355052","0,5858681202"
0,975,975,14,"0,6267478863","0,3948841095"
0,945,945,13,"0,2528728485","0,4000329971"
0,958,958,14,"0,1388104757","0,394397974"
0,963,963,14,0,"0,4111778736"
0,976,976,13,"0,6842489976","0,4049990177"
0,1009,1009,13,0,"0,4162459373"
0,1005,1005,9,0,"0,3009929657"
0,751,751,14,0,"0,3268401623"
0,708,708,14,"0,9288371693","0,3476700783"
0,728,728,12,"27,2775402069","0,3240888119"
0,959,959,14,"2,1545314789","0,3981089592"
0,968,968,14,"1,7717285156","0,4033949375"
0,1003,1003,12,"7,5463155111","0,3506000042"
0,982,982,14,"0,7691421509","0,4023759365"
0,988,988,13,"0,4944038391","0,3939709663"
0,937,937,13,"0,3951187134","0,4417879581"
0,827,827,14,0,"0,3522539139"
0,853,853,15,"0,3350961208","0,3539810181"
0,836,836,13,0,"0,3265099525"
0,753,753,13,0,"0,7250349522"
0,769,769,13,"0,0850137075","0,3332109451"
0,755,755,15,0,"0,3261630535"
0,882,882,14,0,"0,3681020737"
0,899,899,13,0,"0,3664221764"
0,898,898,14,"7,5539007187","0,3779470921"
0,1008,1008,15,"0,7998218536","0,4053709507"
0,992,992,12,"0,5091196696","0,4282410145"
0,993,993,13,"2,4823362562","0,4518280029"
0,1122,1122,13,"1,2024078369","0,4467580318"
0,1096,1096,14,0,"0,4528360367"
0,1141,1141,13,"31,8466785137","0,4358508587"
0,1214,1214,15,"0,3940872192","0,4877140522"
0,1225,1225,15,"0,9333129296","0,4835829735"
0,1230,1230,13,0,"0,5072920322"
0,1557,1557,14,"0,7874477931","1,1466710567"
0,1450,1450,13,0,"0,6103379726"
0,1515,1515,14,0,"0,5986020565"
0,1777,1777,14,0,"0,7809839249"
0,1776,1776,14,"2,2997076852","0,7658400536"
0,1734,1734,14,"1,2356109619","0,7511649132"
0,1809,1809,13,0,"0,6986289024"
0,1953,1953,16,"0,4605558183","0,8942019939"
0,1972,1972,14,"1,3449302086","0,9191160202"
0,1923,1923,13,0,"0,7571837902"
0,2070,2070,15,0,"0,9754619598"
0,2064,2064,17,"0,2175750732","0,9731960297"
0,2044,2044,13,0,"0,7777769566"
0,2202,2202,15,"0,0486998558","1,0663461685"
0,2199,2199,16,"0,1632385254","1,0603981018"
0,2173,2173,12,"7,750821352","0,9374129772"
0,2275,2275,14,"0,2618410587","1,1126852036"
0,2296,2296,16,0,"1,1778240204"
0,2356,2356,12,"4,8686603546","0,921186924"
0,2490,2490,15,"0,8342641195","1,2778089046"
0,2480,2480,14,"0,8256053925","1,2699420452"
0,2469,2469,14,0,"1,0026109219"
0,2454,2454,15,"0,215057373","1,270373106"
0,2490,2490,15,0,"1,2595739365"
0,2397,2397,15,"0,3643369675","1,2318820953"
0,2428,2428,13,0,"0,9182801247"
0,2169,2169,15,"0,960068512","1,0233390331"
0,2216,2216,14,"1,2880066463","1,0238671303"
0,2160,2160,12,"0,2948999405","0,8466980457"
0,2384,2384,15,"0,4514122009","1,2120540142"
0,2402,2402,14,0,"1,2129640579"
0,2404,2404,8,0,"0,6785519123"
0,1797,1797,14,"0,7125488917","0,7986171246"
0,1831,1831,14,0,"0,7827820778"
0,1779,1779,15,"1,1770526038","0,8178629875"
0,1838,1838,12,0,"0,6279830933"
0,1912,1912,15,0,"0,8509969711"
0,1900,1900,14,0,"0,8250961304"
0,1880,1880,11,"7,5402297974","0,8078508377"
