,"nfeatures","nmatches","ngoodmatches","reproj_error","ex_time"
0,783,783,783,0,"0,6810619831"
0,783,783,13,"0,1731984065","0,3980419636"
0,834,834,13,"3,5257121495","0,3640158176"
0,806,806,13,"0,0020154317","0,3601868153"
0,819,819,13,"1,6475360577","0,3486950397"
0,856,856,13,"0,4068116275","0,3618531227"
0,861,861,15,0,"0,345345974"
0,863,863,15,"0,1371251424","0,3606729507"
0,877,877,14,0,"0,3557200432"
0,873,873,13,"0,0369422219","0,3678979874"
0,846,846,13,0,"0,3599798679"
0,873,873,14,0,"0,492002964"
0,900,900,15,"0,3798128764","0,3810770512"
0,893,893,15,"0,7279663086","0,3827431202"
0,899,899,13,0,"0,3768410683"
0,936,936,14,0,"0,3676939011"
0,920,920,13,"0,018321991","0,3758740425"
0,965,965,14,"0,1153629848","0,8973770142"
0,942,942,15,"8,9799537659","0,378305912"
0,935,935,14,"0,5747355052","0,5834569931"
0,975,975,14,"0,6267478863","0,3908867836"
0,945,945,13,"0,2528728485","0,3982470036"
0,958,958,14,"0,1388104757","0,4035429955"
0,963,963,14,0,"0,41259408"
0,976,976,13,"0,6842489976","0,3942489624"
0,1009,1009,13,0,"0,41127491"
0,1005,1005,13,"0,4409503937","0,4227509499"
0,1043,1043,14,"0,4920865695","0,4290730953"
0,1023,1023,14,0,"0,429680109"
0,1061,1061,15,0,"0,4352798462"
0,1082,1082,14,"0,1966432844","0,4560041428"
0,1028,1028,15,"0,5690775553","0,4622237682"
0,1058,1058,14,0,"0,4736428261"
0,1061,1061,14,"0,3944421248","0,6029610634"
0,1072,1072,14,0,"0,4520061016"
0,1109,1109,16,0,"0,5953891277"
0,1102,1102,14,"0,271858414","0,4903171062"
0,1123,1123,14,"1,6149735884","0,4688160419"
0,1098,1098,15,"0,0306204016","0,4435429573"
0,1090,1090,16,0,"0,4470560551"
0,1101,1101,14,"0,0393625895","0,4571120739"
0,1135,1135,14,"0,3310117722","0,4540090561"
0,1137,1137,15,"0,2154960632","0,4709300995"
0,1165,1165,15,"0,4281282425","0,4765610695"
0,1164,1164,16,"0,3825645447","0,4775488377"
0,1160,1160,13,0,"0,463654995"
0,1159,1159,13,0,"0,4946699142"
0,1260,1260,15,0,"0,4973602295"
0,1208,1208,16,0,"0,4934699535"
0,1245,1245,14,0,"0,4973080158"
0,1240,1240,12,"5,8445234299","0,4212141037"
0,1230,1230,13,"1,7802921295","0,4802000523"
0,1195,1195,15,0,"0,4921329021"
0,1233,1233,16,0,"0,4859559536"
0,1219,1219,11,0,"0,3536419868"
0,913,913,13,"0,2892289595","0,4097590446"
0,874,874,13,"0,3104997782","0,6883199215"
0,882,882,13,"0,3682454427","0,358987093"
0,835,835,13,"0,1834742228","0,3576219082"
0,832,832,12,0,"0,3030591011"
0,749,749,14,"1,1191398621","0,3600490093"
0,769,769,15,"0,5760574341","0,3453829288"
0,799,799,14,0,"0,3457860947"
0,803,803,13,0,"0,3411209583"
0,815,815,11,"9,8758563995","0,3284449577"
0,978,978,13,0,"0,3854351044"
0,982,982,14,"0,7691421509","0,4040210247"
0,988,988,13,"0,4944038391","0,4045329094"
0,937,937,12,"399,4135309855","0,3097429276"
0,762,762,13,"0,3042108096","0,3357789516"
0,743,743,13,0,"0,3357360363"
0,789,789,13,"0,5399532318","0,347151041"
0,795,795,14,"0,2513551712","0,3444569111"
0,774,774,12,"19,0385360718","0,3299949169"
0,1011,1011,14,0,"0,4040539265"
0,979,979,14,"0,5239608071","0,4004211426"
0,990,990,15,0,"0,4105198383"
0,1003,1003,14,"0,2626768748","0,4020569324"
0,953,953,12,0,"0,3646519184"
0,1123,1123,15,"1,280552604","0,4625511169"
0,1146,1146,14,"1,0142288208","0,4591901302"
0,1168,1168,14,"0,2941479002","0,4667489529"
0,1159,1159,14,0,"0,480050087"
0,1210,1210,13,"28,4121170044","0,655479908"
0,1488,1488,15,"1,067706426","0,6490828991"
0,1557,1557,14,"0,7874477931","1,1078870296"
0,1450,1450,13,0,"0,5923829079"
0,1515,1515,12,"3,3608822293","0,578471899"
0,1918,1918,16,0,"0,8846459389"
0,1948,1948,15,0,"0,8900699615"
0,1952,1952,15,"1,2578911415","0,9001648426"
0,1991,1991,15,0,"0,9022140503"
0,1953,1953,11,"365,2097549438","0,7166509628"
0,2098,2098,13,"0,199671936","0,9723081589"
0,2072,2072,14,"0,3380126953","0,9786770344"
0,2037,2037,15,"0,3305350084","0,9465999603"
0,2059,2059,15,"0,0929260254","0,9506878853"
0,2066,2066,16,"11,8047913445","0,8232719898"
0,2236,2236,15,"0,7584648132","1,102036953"
0,2258,2258,16,0,"1,135256052"
0,2283,2283,15,0,"1,1505060196"
0,2271,2271,15,0,"1,125977993"
0,2269,2269,15,"1,2431472778","0,9121448994"
0,2459,2459,14,0,"1,3191809654"
0,2523,2523,16,0,"1,316092968"
0,2490,2490,15,"0,8342641195","1,3014440536"
0,2480,2480,14,"0,8256053925","1,2939660549"
0,2469,2469,13,0,"0,9457509518"
0,2387,2387,15,"0,2332077026","1,293585062"
0,2419,2419,15,"0,1540557861","1,2336359024"
0,2402,2402,15,"0,2463623047","1,241350174"
0,2395,2395,15,"0,2370742798","1,2250170708"
0,2334,2334,14,0,"0,8329880238"
0,2146,2146,16,0,"1,0106201172"
0,2121,2121,16,0,"1,0335850716"
0,2130,2130,15,"0,3665974935","1,0463030338"
0,2167,2167,10,0,"0,6641709805"
0,1889,1889,17,"0,8172351292","0,8529219627"
0,1892,1892,16,0,"0,8440070152"
0,1892,1892,14,0,"0,840914011"
0,1873,1873,14,0,"0,9587459564"
0,1891,1891,13,0,"0,7055778503"
0,1943,1943,14,"1,6929661144","0,8918550014"
0,1994,1994,14,"2,2006284274","0,9014048576"
0,1981,1981,14,"1,0819570101","0,872426033"
0,1942,1942,15,"0,6255172729","0,897703886"
0,2003,2003,5,"0,6255172729","0,6641190052"
0,2108,2108,14,"0,8584014893","0,9984779358"
0,2091,2091,15,0,"0,9707131386"
0,2037,2037,15,"0,4297122955","0,9481561184"
0,2045,2045,11,"6,9206609726","0,8022959232"
0,2551,2551,15,"1,4818913596","1,3540508747"
0,2517,2517,14,"1,0155181885","1,3213310242"
0,2538,2538,16,"0,0098419189","1,382516861"
0,2582,2582,14,"0,3364016215","1,3606610298"
0,2546,2546,8,"17,9710744222","0,477545023"
0,951,951,15,0,"0,4018280506"
