,feature,nmatches,ngoodmatches,ex_time
0,orb,2000.0,50.0,0.5544941425323486
0,orb,2000.0,48.0,0.3451828956604004
0,orb,2000.0,14.0,0.3851299285888672
0,orb,2000.0,24.0,0.3863902091979981
0,orb,2000.0,44.0,0.33073902130126953
0,orb,2000.0,50.0,0.3184540271759033
0,orb,2000.0,46.0,0.31623101234436035
0,orb,2000.0,35.0,0.34584689140319824
0,orb,2000.0,22.0,0.35923314094543457
0,orb,1996.0,50.0,0.34869909286499023
0,orb,1998.0,16.0,0.3428149223327637
0,orb,2000.0,44.0,0.3286609649658203
0,orb,2000.0,50.0,0.3991339206695557
0,orb,2000.0,17.0,0.3416948318481445
0,orb,1936.0,49.0,0.4311511516571045
0,orb,1944.0,50.0,0.5097510814666748
0,orb,1930.0,50.0,0.4624168872833252
0,orb,1937.0,12.0,0.5413470268249512
0,orb,1983.0,50.0,0.4699721336364746
0,orb,1983.0,43.0,0.4694409370422363
0,orb,1980.0,50.0,0.4463779926300049
0,orb,1979.0,24.0,0.407106876373291
0,orb,1981.0,18.0,0.32054805755615234
0,orb,1964.0,48.0,0.3124909400939941
0,orb,1962.0,48.0,0.3693041801452637
0,orb,1963.0,35.0,0.2733500003814697
0,orb,1963.0,29.0,0.30741095542907715
0,orb,1917.0,49.0,0.3651530742645264
0,orb,1901.0,50.0,0.3624289035797119
0,orb,1905.0,50.0,0.3234097957611084
0,orb,1906.0,32.0,0.31766915321350103
0,orb,1882.0,50.0,0.3537299633026123
0,orb,1873.0,50.0,0.3909640312194824
0,orb,1879.0,50.0,0.4376950263977051
0,orb,1881.0,25.0,0.5251908302307129
0,orb,1951.0,48.0,0.6131820678710938
0,orb,1954.0,47.0,0.5618941783905029
0,orb,1952.0,50.0,0.5169250965118408
0,orb,1938.0,24.0,0.3385961055755615
0,orb,1904.0,50.0,0.3838770389556885
0,orb,1903.0,39.0,0.3258240222930908
0,orb,1916.0,49.0,0.3216040134429932
0,orb,1914.0,32.0,0.32729101181030273
0,orb,1954.0,19.0,0.26541900634765625
0,orb,1974.0,43.0,0.3788490295410156
0,orb,1978.0,48.0,0.3886170387268065
0,orb,1975.0,37.0,0.5894501209259033
0,orb,1973.0,50.0,0.3999800682067871
0,orb,1973.0,21.0,0.4935188293457031
0,orb,2000.0,47.0,0.452197790145874
0,orb,2000.0,48.0,0.5313508510589601
0,orb,2000.0,50.0,0.5547671318054199
0,orb,2000.0,43.0,0.4541461467742921
0,orb,2000.0,27.0,0.4074840545654297
0,orb,2000.0,17.0,0.4576029777526856
0,orb,2000.0,49.0,0.36507201194763184
0,orb,2000.0,45.0,0.3798141479492188
0,orb,2000.0,32.0,0.35404205322265625
0,orb,2000.0,26.0,0.3865950107574463
0,orb,2000.0,48.0,0.3015918731689453
0,orb,2000.0,20.0,0.28793811798095703
0,orb,2000.0,24.0,0.30733585357666016
0,orb,2000.0,17.0,0.3852710723876953
0,orb,2000.0,48.0,0.5742709636688232
0,orb,2000.0,28.0,0.6614959239959717
0,orb,2000.0,45.0,0.5411369800567627
0,orb,2000.0,25.0,0.6330008506774902
0,orb,2000.0,26.0,0.5737438201904297
0,orb,1953.0,26.0,0.5362780094146729
0,orb,1820.0,50.0,0.490664005279541
0,orb,1825.0,26.0,0.471930980682373
0,orb,2000.0,47.0,0.501338005065918
0,orb,2000.0,43.0,0.5449290275573729
0,orb,1999.0,19.0,0.5448019504547119
0,orb,2000.0,41.0,0.4587960243225098
0,orb,2000.0,45.0,0.3422648906707764
0,orb,2000.0,17.0,0.2990539073944092
0,orb,2000.0,22.0,0.34178996086120605
0,orb,2000.0,45.0,0.3987030982971192
0,orb,2000.0,29.0,0.3748829364776611
0,orb,2000.0,33.0,0.3227851390838623
0,orb,2000.0,27.0,0.3342020511627197
0,orb,2000.0,34.0,0.3999998569488525
0,orb,2000.0,45.0,0.397367000579834
0,orb,2000.0,50.0,0.4599909782409668
0,orb,2000.0,50.0,0.4134221076965332
0,orb,2000.0,12.0,0.4612739086151123
0,orb,1876.0,36.0,0.4536490440368652
0,orb,1840.0,47.0,0.4670689105987549
0,orb,1843.0,50.0,0.4137110710144043
0,orb,1835.0,17.0,0.375844955444336
0,orb,1805.0,50.0,0.3017129898071289
0,orb,1793.0,50.0,0.2925870418548584
0,orb,1798.0,20.0,0.30248403549194336
0,orb,1829.0,50.0,0.37358999252319336
0,orb,1831.0,50.0,0.3069400787353516
0,orb,1824.0,36.0,0.2379589080810547
0,orb,1851.0,49.0,0.3582248687744141
0,orb,1862.0,13.0,0.3145439624786377
0,orb,1980.0,47.0,0.3515269756317139
0,orb,1979.0,32.0,0.4415650367736816
0,orb,1981.0,50.0,0.4490041732788086
0,orb,1980.0,32.0,0.4810149669647217
0,orb,1929.0,50.0,0.4285399913787842
0,orb,1927.0,50.0,0.42574095726013184
0,orb,1927.0,22.0,0.4274051189422608
0,orb,1857.0,16.0,0.4345848560333252
0,orb,1484.0,50.0,0.26122403144836426
0,orb,1484.0,33.0,0.2549631595611572
0,orb,1726.0,50.0,0.3104231357574463
0,orb,1711.0,50.0,0.2910609245300293
0,orb,1717.0,40.0,0.2713148593902588
0,orb,1489.0,28.0,0.220677137374878
0,orb,1396.0,50.0,0.1961531639099121
0,orb,1405.0,50.0,0.2195730209350586
0,orb,1408.0,31.0,0.2000570297241211
0,orb,1523.0,50.0,0.2108519077301025
0,orb,1531.0,50.0,0.2535531520843506
0,orb,1553.0,50.0,0.26253199577331543
0,orb,1577.0,50.0,0.35602402687072754
0,orb,1587.0,27.0,0.2562508583068848
0,orb,1156.0,34.0,0.16844415664672852
0,orb,856.0,50.0,0.19048810005187988
0,orb,859.0,50.0,0.17453694343566895
0,orb,857.0,50.0,0.17988991737365725
0,orb,857.0,50.0,0.1799459457397461
0,orb,842.0,25.0,0.20805907249450686
0,orb,1247.0,36.0,0.2212171554565429
0,orb,1092.0,50.0,0.2557480335235596
0,orb,1107.0,50.0,0.22695112228393555
0,orb,1106.0,38.0,0.20165681838989247
0,orb,1112.0,50.0,0.20852899551391602
0,orb,1044.0,50.0,0.1333909034729004
0,orb,1050.0,32.0,0.17163801193237305
0,orb,1421.0,50.0,0.18474411964416504
0,orb,1395.0,50.0,0.21496915817260745
0,orb,1406.0,50.0,0.21477389335632324
0,orb,1405.0,44.0,0.16999506950378418
0,orb,1344.0,50.0,0.18181419372558594
0,orb,1314.0,50.0,0.20543193817138672
0,orb,1307.0,46.0,0.1929018497467041
0,orb,1324.0,50.0,0.19459104537963867
0,orb,1309.0,50.0,0.17872905731201172
0,orb,1312.0,48.0,0.16078901290893555
0,orb,1305.0,36.0,0.18294215202331546
0,orb,1193.0,50.0,0.18765902519226074
0,orb,1193.0,45.0,0.18390989303588867
0,orb,1219.0,50.0,0.18425989151000974
0,orb,1224.0,50.0,0.18764901161193848
0,orb,1225.0,50.0,0.17229008674621582
0,orb,1225.0,34.0,0.15832996368408206
0,orb,1086.0,50.0,0.1240530014038086
0,orb,1086.0,33.0,0.20392298698425293
0,orb,1054.0,50.0,0.11586618423461915
0,orb,1048.0,50.0,0.14715790748596191
0,orb,1044.0,50.0,0.12997984886169436
0,orb,1043.0,11.0,0.2440650463104248
0,orb,2000.0,50.0,0.3079409599304199
0,orb,2000.0,39.0,0.2934780120849609
0,orb,2000.0,19.0,0.3821351528167725
0,orb,2000.0,50.0,0.3237669467926025
0,orb,2000.0,50.0,0.33388710021972656
