,feature,nmatches,ngoodmatches,ex_time
0,orb,985.0,50.0,0.4376239776611328
0,orb,985.0,50.0,0.174238920211792
0,orb,988.0,50.0,0.13803505897521973
0,orb,989.0,50.0,0.16539788246154785
0,orb,989.0,39.0,0.14627289772033691
0,orb,945.0,10.0,0.21340107917785645
0,orb,2000.0,9.0,0.28917694091796875
0,orb,939.0,10.0,0.2963361740112305
0,orb,2000.0,10.0,0.2708709239959717
0,orb,951.0,10.0,0.2847828865051269
0,orb,2000.0,10.0,0.2511789798736572
0,orb,950.0,9.0,0.3431169986724853
0,orb,2000.0,8.0,0.2771010398864746
0,orb,870.0,9.0,0.2747659683227539
0,orb,2000.0,9.0,0.27742695808410645
0,orb,873.0,50.0,0.15012884140014648
0,orb,873.0,9.0,0.2651000022888184
0,orb,2000.0,9.0,0.23070597648620605
0,orb,873.0,9.0,0.22670602798461914
0,orb,2000.0,10.0,0.2775380611419678
0,orb,842.0,10.0,0.240062952041626
0,orb,2000.0,10.0,0.3117101192474365
0,orb,842.0,9.0,0.3707880973815918
0,orb,2000.0,9.0,0.4100461006164551
0,orb,850.0,8.0,0.3929929733276367
0,orb,2000.0,8.0,0.3194448947906494
0,orb,855.0,50.0,0.21827316284179688
0,orb,855.0,40.0,0.1934099197387696
0,orb,985.0,9.0,0.33421993255615234
0,orb,2000.0,9.0,0.4139671325683594
0,orb,990.0,9.0,0.3078000545501709
0,orb,2000.0,10.0,0.33992719650268555
0,orb,993.0,9.0,0.2540879249572754
0,orb,2000.0,10.0,0.2765779495239258
0,orb,992.0,10.0,0.3002901077270508
0,orb,2000.0,9.0,0.2314889430999756
0,orb,992.0,9.0,0.2271051406860352
0,orb,2000.0,29.0,0.4174680709838867
0,orb,2000.0,50.0,0.3738491535186768
0,orb,2000.0,9.0,0.3327960968017578
0,orb,1187.0,39.0,0.20798301696777344
0,orb,1149.0,32.0,0.19490694999694824
0,orb,1198.0,50.0,0.1950969696044922
0,orb,1244.0,8.0,0.2875509262084961
0,orb,2000.0,8.0,0.2962069511413574
0,orb,1244.0,50.0,0.1608409881591797
0,orb,1244.0,10.0,0.24673700332641602
0,orb,1937.0,10.0,0.3398869037628174
0,orb,1239.0,11.0,0.2735679149627685
0,orb,1983.0,50.0,0.3618359565734863
0,orb,1979.0,24.0,0.2993218898773193
0,orb,1981.0,18.0,0.3115551471710205
0,orb,1964.0,49.0,0.327009916305542
0,orb,1963.0,35.0,0.3009488582611084
0,orb,1963.0,28.0,0.3565030097961426
0,orb,1901.0,50.0,0.32441210746765137
0,orb,1905.0,34.0,0.31581807136535645
0,orb,1881.0,25.0,0.5472519397735596
0,orb,1951.0,48.0,0.4394619464874268
0,orb,1954.0,50.0,0.4103829860687256
0,orb,1938.0,23.0,0.40018296241760254
0,orb,1907.0,36.0,0.3341820240020752
0,orb,1915.0,48.0,0.2999701499938965
0,orb,1914.0,48.0,0.2973320484161377
0,orb,1916.0,49.0,0.3179750442504883
0,orb,1914.0,32.0,0.350492000579834
0,orb,1954.0,47.0,0.3195130825042725
0,orb,1953.0,45.0,0.420233964920044
0,orb,1956.0,18.0,0.30843305587768555
0,orb,1974.0,43.0,0.2965891361236572
0,orb,1978.0,21.0,0.3084261417388916
0,orb,2000.0,47.0,0.33546805381774897
0,orb,2000.0,48.0,0.2778820991516113
0,orb,2000.0,50.0,0.3843870162963867
0,orb,2000.0,43.0,0.3368501663208008
0,orb,2000.0,25.0,0.3599708080291748
0,orb,2000.0,48.0,0.32920289039611816
0,orb,2000.0,46.0,0.4462389945983887
0,orb,2000.0,48.0,0.414154052734375
0,orb,2000.0,17.0,0.4965600967407226
0,orb,2000.0,33.0,0.5220952033996582
0,orb,2000.0,43.0,0.7021389007568359
0,orb,2000.0,40.0,0.5076289176940918
0,orb,2000.0,26.0,0.3580861091613769
0,orb,2000.0,26.0,0.33600616455078125
0,orb,2000.0,38.0,0.368764877319336
0,orb,2000.0,49.0,0.2958090305328369
0,orb,2000.0,24.0,0.43050289154052734
0,orb,2000.0,48.0,0.3668642044067383
0,orb,2000.0,27.0,0.42403697967529297
0,orb,1950.0,50.0,0.3394269943237305
0,orb,1921.0,50.0,0.32486891746521
0,orb,1917.0,21.0,0.6508641242980957
0,orb,1843.0,48.0,0.4084811210632324
0,orb,1819.0,50.0,0.4050271511077881
0,orb,1818.0,26.0,0.5343148708343506
0,orb,1999.0,34.0,0.4404778480529785
0,orb,1995.0,30.0,0.42317318916320795
0,orb,2000.0,24.0,0.4950878620147705
0,orb,2000.0,40.0,0.3698871135711671
0,orb,2000.0,45.0,0.4081690311431885
0,orb,2000.0,17.0,0.2882230281829834
0,orb,2000.0,49.0,0.29094409942626953
0,orb,2000.0,11.0,0.3430109024047852
0,orb,1891.0,26.0,0.30594301223754883
0,orb,1895.0,44.0,0.28032684326171875
0,orb,1849.0,49.0,0.2675750255584717
0,orb,1838.0,50.0,0.2764129638671875
0,orb,1838.0,28.0,0.2859079837799072
0,orb,1911.0,49.0,0.4306149482727051
0,orb,1907.0,17.0,0.3874521255493164
0,orb,1862.0,50.0,0.5103390216827393
0,orb,1868.0,50.0,0.41384100914001465
0,orb,1863.0,18.0,0.4396040439605713
0,orb,1712.0,50.0,0.3960130214691162
0,orb,1708.0,50.0,0.3789229393005371
0,orb,1708.0,37.0,0.2571520805358887
0,orb,1446.0,50.0,0.15679216384887695
0,orb,1426.0,50.0,0.2242569923400879
0,orb,1435.0,21.0,0.24324297904968264
0,orb,1848.0,16.0,0.3139200210571289
0,orb,1924.0,50.0,0.3066368103027344
0,orb,1910.0,50.0,0.2567849159240723
0,orb,1912.0,50.0,0.32008790969848633
0,orb,1912.0,16.0,0.2760870456695557
0,orb,1547.0,35.0,0.2587120532989502
0,orb,1501.0,50.0,0.2390239238739013
0,orb,1490.0,50.0,0.20684313774108887
0,orb,1484.0,34.0,0.3068821430206299
0,orb,1726.0,43.0,0.3340167999267578
0,orb,1496.0,50.0,0.30499792098999023
0,orb,1492.0,50.0,0.2834000587463379
0,orb,1489.0,26.0,0.2970199584960937
0,orb,1516.0,50.0,0.3700010776519776
0,orb,1522.0,41.0,0.31265902519226074
0,orb,1444.0,42.0,0.3006160259246826
0,orb,1313.0,50.0,0.2746570110321045
0,orb,1375.0,50.0,0.19335198402404785
0,orb,1380.0,50.0,0.21180295944213867
0,orb,1382.0,41.0,0.19203996658325195
0,orb,1226.0,23.0,0.11882805824279785
0,orb,842.0,32.0,0.10773706436157228
0,orb,606.0,50.0,0.09632587432861328
0,orb,608.0,50.0,0.09817194938659668
0,orb,613.0,34.0,0.0974428653717041
0,orb,642.0,50.0,0.10132884979248047
0,orb,642.0,37.0,0.16053318977355954
0,orb,762.0,50.0,0.1449720859527588
0,orb,720.0,50.0,0.11714291572570801
0,orb,734.0,34.0,0.1261920928955078
0,orb,1239.0,35.0,0.17656183242797852
0,orb,1107.0,50.0,0.15511512756347656
0,orb,1106.0,50.0,0.14563608169555664
0,orb,1106.0,50.0,0.18817901611328125
0,orb,1106.0,38.0,0.16225099563598633
0,orb,1112.0,50.0,0.1376018524169922
0,orb,1044.0,28.0,0.2143990993499756
0,orb,1299.0,50.0,0.2291259765625
0,orb,1323.0,50.0,0.1719670295715332
0,orb,1327.0,50.0,0.16917705535888672
0,orb,1326.0,50.0,0.1935629844665528
0,orb,1326.0,42.0,0.19095897674560547
0,orb,1229.0,50.0,0.1717679500579834
0,orb,1238.0,50.0,0.16440105438232422
0,orb,1238.0,50.0,0.1967332363128662
0,orb,1238.0,48.0,0.16388702392578125
0,orb,1234.0,50.0,0.1812288761138916
0,orb,1235.0,50.0,0.1565079689025879
0,orb,1261.0,50.0,0.21097898483276367
0,orb,1268.0,50.0,0.19671106338500974
0,orb,1267.0,34.0,0.15670990943908691
0,orb,921.0,40.0,0.13851213455200195
0,orb,984.0,50.0,0.18276095390319824
0,orb,991.0,50.0,0.18588519096374512
0,orb,998.0,50.0,0.13251900672912598
0,orb,991.0,50.0,0.12594819068908691
0,orb,987.0,44.0,0.16248106956481936
0,orb,993.0,50.0,0.1451280117034912
0,orb,979.0,48.0,0.12114906311035155
0,orb,1054.0,8.0,0.20417118072509768
0,orb,2000.0,46.0,0.3365428447723389
0,orb,2000.0,26.0,0.352139949798584
0,orb,2000.0,50.0,0.3596661090850829
0,orb,2000.0,50.0,0.3526139259338379
0,orb,2000.0,43.0,0.35799479484558105
0,orb,2000.0,49.0,0.3333268165588379
0,orb,2000.0,38.0,0.3701910972595215
0,orb,2000.0,32.0,0.30591607093811035
0,orb,2000.0,50.0,0.30465221405029297
0,orb,2000.0,12.0,0.33248305320739746
0,orb,1889.0,50.0,0.2583889961242676
0,orb,1889.0,31.0,0.41341304779052734
0,orb,1867.0,46.0,0.4167330265045166
0,orb,1866.0,50.0,0.4794981479644776
0,orb,1866.0,32.0,0.4090900421142578
0,orb,1888.0,47.0,0.4503519535064697
0,orb,1878.0,50.0,0.3981118202209473
0,orb,1884.0,35.0,0.4035279750823975
0,orb,1881.0,50.0,0.3479979038238525
0,orb,1881.0,39.0,0.2682039737701416
0,orb,1763.0,9.0,0.3400700092315674
0,orb,2000.0,23.0,0.29213786125183105
0,orb,2000.0,35.0,0.2886960506439209
0,orb,2000.0,50.0,0.3395378589630127
0,orb,2000.0,50.0,0.3677208423614502
0,orb,2000.0,35.0,0.3691439628601074
0,orb,2000.0,25.0,0.2806949615478516
0,orb,2000.0,13.0,0.4636719226837158
0,orb,2000.0,50.0,0.4831600189208984
0,orb,2000.0,44.0,0.6042029857635498
0,orb,2000.0,10.0,0.578131914138794
0,orb,2000.0,28.0,0.4787640571594238
0,orb,2000.0,45.0,0.4914569854736328
0,orb,2000.0,39.0,0.504633903503418
0,orb,2000.0,20.0,0.5043759346008301
