,feature,nmatches,ngoodmatches,ex_time
0,,,,
0,orb,383.0,383.0,0.9033761024475098
0,orb,383.0,366.0,0.7995181083679199
0,orb,388.0,366.0,0.7812728881835938
0,orb,377.0,366.0,0.8469960689544678
0,orb,383.0,14.0,0.8137450218200684
0,orb,483.0,396.0,1.014594793319702
0,orb,496.0,429.0,0.8605771064758301
0,orb,490.0,490.0,1.1104130744934082
0,orb,490.0,8.0,0.8380250930786133
0,orb,382.0,351.0,0.7729020118713379
0,orb,366.0,350.0,0.9281508922576904
0,orb,368.0,368.0,0.7923190593719482
0,orb,368.0,8.0,1.051758050918579
0,orb,1430.0,1333.0,2.374971866607666
0,orb,1425.0,87.0,0.9843270778656006
0,orb,682.0,650.0,1.5445070266723633
0,orb,683.0,683.0,1.737562894821167
0,orb,683.0,8.0,0.8454198837280273
0,orb,666.0,618.0,1.1092579364776611
0,orb,660.0,221.0,0.9181931018829346
0,orb,766.0,19.0,1.119762897491455
0,orb,1279.0,630.0,1.940782070159912
0,orb,1397.0,675.0,2.0893051624298096
0,orb,1378.0,1378.0,2.816349029541016
0,orb,1378.0,771.0,1.6990320682525637
0,orb,1446.0,431.0,1.5579109191894531
0,orb,1476.0,1398.0,2.5841078758239746
0,orb,1488.0,701.0,1.8331048488616943
0,orb,1612.0,940.0,2.2319459915161133
0,orb,1629.0,1454.0,2.8514530658721924
0,orb,1603.0,744.0,1.881355047225952
0,orb,1703.0,1480.0,2.976124048233032
0,orb,1688.0,1573.0,2.8567409515380864
0,orb,1691.0,835.0,2.173837900161743
0,orb,1612.0,1015.0,2.2274060249328613
0,orb,1598.0,1422.0,2.7052578926086426
0,orb,1603.0,382.0,1.7167079448699951
0,orb,1838.0,1718.0,3.539613008499145
0,orb,1818.0,1774.0,3.526387929916382
0,orb,1807.0,8.0,1.2327899932861328
0,orb,1078.0,1017.0,1.753201961517334
0,orb,1093.0,916.0,1.5696458816528318
0,orb,1089.0,51.0,1.081650972366333
0,orb,1170.0,514.0,1.5051531791687012
0,orb,1255.0,325.0,1.2614340782165527
0,orb,1149.0,1058.0,2.1140909194946294
0,orb,1157.0,1107.0,1.9049310684204104
0,orb,1139.0,31.0,1.0846931934356692
0,orb,999.0,431.0,1.5154778957366943
0,orb,1184.0,1112.0,2.2163898944854736
0,orb,1184.0,191.0,1.0505571365356443
0,orb,792.0,790.0,1.3991549015045166
0,orb,792.0,244.0,0.9745748043060304
0,orb,776.0,188.0,0.8974130153656006
0,orb,939.0,915.0,1.6708340644836426
0,orb,940.0,935.0,1.423246145248413
0,orb,939.0,30.0,1.0741090774536133
0,orb,1257.0,697.0,1.701997995376587
